long	string	int[]	long	int	int	int[]	int[]	int	int	int	int
条目id	描述	商品分类	道具id	数量	消耗类型(ResType)	消耗数量	限购次数(0不限购)序列(0每日1每个玩家)	默认折扣	VIP限购等级	排序Id	是否推荐
id	describe	showType	goodsId	count	priceType	price	limitCount	discount	vipLevelLimit	sort	recommend
65001		3	40021	5	90102	150	1+1	10000		1	1
65002		3	40022	5	90102	150	1+1	10000		2	1
65003		3	40023	5	90102	150	1+1	10000		3	1
65004		3	40025	5	90102	150	1+1	10000		4	1
65005		3	40026	5	90102	150	1+1	10000		5	1
65006		3	40027	5	90102	150	1+1	10000		6	1
65007		3	40031	5	90102	150	1+1	10000		7	1
65008		3	40037	5	90102	200	1+1	10000		8	1
65009		3	40038	5	90102	200	1+1	10000		9	1
65010		3	40039	5	90102	200	1+1	10000		10	1
65011		3	40040	5	90102	200	1+1	10000		11	1
65012		3	40041	5	90102	200	1+1	10000		12	1
65013		3	40042	5	90102	200	1+1	10000		13	1
65014		3	40043	5	90102	200	1+1	10000		14	1
65015		3	40044	5	90102	200	1+1	10000		15	1
65016		3	40045	5	90102	200	1+1	10000		16	1
65017		3	40046	5	90102	200	1+1	10000		17	1
65018		3	40048	5	90102	200	1+1	10000		18	1
65019		3	40049	5	90102	200	1+1	10000		19	1
65020		3	40050	5	90102	200	1+1	10000		20	1
65021		3	40051	5	90102	200	1+1	10000		21	1
65022		3	40052	5	90102	200	1+1	10000		22	1
65023		3	40053	5	90102	200	1+1	10000		23	1
65024		3	40054	5	90102	200	1+1	10000		24	1
65025		3	40055	5	90102	200	1+1	10000		25	1
65026		3	40056	5	90102	200	1+1	10000		26	1
65027		3	40021	10	90102	300	1+1	10000		27	1
65028		3	40022	10	90102	300	1+1	10000		28	1
65029		3	40023	10	90102	300	1+1	10000		29	1
65030		3	40025	10	90102	300	1+1	10000		30	1
65031		3	40026	10	90102	300	1+1	10000		31	1
65032		3	40027	10	90102	300	1+1	10000		32	1
65033		3	40031	10	90102	300	1+1	10000		33	1
65034		3	40037	10	90102	400	1+1	10000		34	1
65035		3	40038	10	90102	400	1+1	10000		35	1
65036		3	40039	10	90102	400	1+1	10000		36	1
65037		3	40040	10	90102	400	1+1	10000		37	1
65038		3	40041	10	90102	400	1+1	10000		38	1
65039		3	40042	10	90102	400	1+1	10000		39	1
65040		3	40043	10	90102	400	1+1	10000		40	1
65041		3	40044	10	90102	400	1+1	10000		41	1
65042		3	40045	10	90102	400	1+1	10000		42	1
65043		3	40046	10	90102	400	1+1	10000		43	1
65044		3	40048	10	90102	400	1+1	10000		44	1
65045		3	40049	10	90102	400	1+1	10000		45	1
65046		3	40050	10	90102	400	1+1	10000		46	1
65047		3	40051	10	90102	400	1+1	10000		47	1
65048		3	40052	10	90102	400	1+1	10000		48	1
65049		3	40053	10	90102	400	1+1	10000		49	1
65050		3	40054	10	90102	400	1+1	10000		50	1
65051		3	40055	10	90102	400	1+1	10000		51	1
65052		3	40056	10	90102	400	1+1	10000		52	1
65053		3	40021	20	90102	600	1+1	10000		53	1
65054		3	40022	20	90102	600	1+1	10000		54	1
65055		3	40023	20	90102	600	1+1	10000		55	1
65056		3	40025	20	90102	600	1+1	10000		56	1
65057		3	40026	20	90102	600	1+1	10000		57	1
65058		3	40027	20	90102	600	1+1	10000		58	1
65059		3	40031	20	90102	600	1+1	10000		59	1
65060		3	40037	20	90102	800	1+1	10000		60	1
65061		3	40038	20	90102	800	1+1	10000		61	1
65062		3	40039	20	90102	800	1+1	10000		62	1
65063		3	40040	20	90102	800	1+1	10000		63	1
65064		3	40041	20	90102	800	1+1	10000		64	1
65065		3	40042	20	90102	800	1+1	10000		65	1
65066		3	40043	20	90102	800	1+1	10000		66	1
65067		3	40044	20	90102	800	1+1	10000		67	1
65068		3	40045	20	90102	800	1+1	10000		68	1
65069		3	40046	20	90102	800	1+1	10000		69	1
